date,market,stock_id,name,trust_net
2026-09-25,TPEX,3105,穩懋,
2026-09-25,TPEX,3529,力旺,
2026-09-25,TPEX,3324,雙鴻,
2026-09-25,TPEX,8069,元太,
2026-09-25,TPEX,5347,世界,
2026-09-25,TPEX,3675,德微,
2026-09-25,TPEX,5904,寶雅*,
2026-09-25,TPEX,7856,漢測,
2026-09-25,TPEX,3293,鈊象,
2026-09-25,TPEX,3228,金麗科,
2026-09-25,TPEX,6462,神盾,
2026-09-25,TPEX,6679,鈺太,
2026-09-25,TPEX,8054,安國,
2026-09-25,TPEX,6291,沛亨,
2026-09-25,TPEX,4966,譜瑞-KY,
2026-09-25,TPEX,6104,創惟,
2026-09-25,TPEX,6138,茂達,
2026-09-25,TPEX,6907,雅特力-KY,
2026-09-25,TPEX,6643,M31,
2026-09-25,TPEX,6121,新普,
2026-09-25,TPEX,7751,竑騰,
2026-09-25,TPEX,4991,環宇-KY,
2026-09-25,TPEX,3491,昇達科,
