date,market,stock_id,name,trust_net
2026-09-08,TPEX,1815,富喬,
2026-09-08,TPEX,3105,穩懋,
2026-09-08,TPEX,5347,世界,
2026-09-08,TPEX,4979,華星光,
2026-09-08,TPEX,3529,力旺,
2026-09-08,TPEX,6223,旺矽,
2026-09-08,TPEX,6187,萬潤,
2026-09-08,TPEX,6510,精測,
2026-09-08,TPEX,6620,漢達,
2026-09-08,TPEX,3624,光頡,
2026-09-08,TPEX,3131,弘塑,
2026-09-08,TPEX,3491,昇達科,
2026-09-08,TPEX,6173,信昌電,
2026-09-08,TPEX,3260,威剛,
2026-09-08,TPEX,6121,新普,
2026-09-08,TPEX,8069,元太,
2026-09-08,TPEX,3293,鈊象,
2026-09-08,TPEX,6643,M31,
2026-09-08,TPEX,8358,金居,
2026-09-08,TPEX,3264,欣銓,
2026-09-08,TPEX,3227,原相,
2026-09-08,TPEX,6509,聚和,
2026-09-08,TPEX,5309,系統電,
2026-09-08,TPEX,5536,聖暉*,
2026-09-08,TPEX,6664,群翊,
2026-09-08,TPEX,8109,博大,
2026-09-08,TPEX,3526,凡甲,
2026-09-08,TPEX,3211,順達,
