date,market,stock_id,name,trust_net
2026-09-02,TPEX,8069,元太,
2026-09-02,TPEX,5274,信驊,
2026-09-02,TPEX,6510,精測,
2026-09-02,TPEX,1815,富喬,
2026-09-02,TPEX,3105,穩懋,
2026-09-02,TPEX,6147,頎邦,
2026-09-02,TPEX,6509,聚和,
2026-09-02,TPEX,5309,系統電,
2026-09-02,TPEX,6664,群翊,
2026-09-02,TPEX,8109,博大,
2026-09-02,TPEX,6121,新普,
2026-09-02,TPEX,3211,順達,
2026-09-02,TPEX,3131,弘塑,
2026-09-02,TPEX,5536,聖暉*,
2026-09-02,TPEX,6763,綠界科技*,
2026-09-02,TPEX,6284,佳邦,
2026-09-02,TPEX,4953,緯致,
2026-09-02,TPEX,4966,譜瑞-KY,
2026-09-02,TPEX,7828,創新服務,
