date,market,stock_id,name,trust_net
2026-09-12,TPEX,1815,富喬,
2026-09-12,TPEX,3624,光頡,
2026-09-12,TPEX,3374,精材,
2026-09-12,TPEX,3260,威剛,
2026-09-12,TPEX,6121,新普,
2026-09-12,TPEX,5483,中美晶,
2026-09-12,TPEX,5347,世界,
2026-09-12,TPEX,6727,亞泰金屬,
2026-09-12,TPEX,3491,昇達科,
2026-09-12,TPEX,6509,聚和,
2026-09-12,TPEX,3105,穩懋,
2026-09-12,TPEX,6223,旺矽,
2026-09-12,TPEX,5309,系統電,
2026-09-12,TPEX,3293,鈊象,
2026-09-12,TPEX,6026,福邦證,
2026-09-12,TPEX,8358,金居,
2026-09-12,TPEX,8109,博大,
2026-09-12,TPEX,3211,順達,
2026-09-12,TPEX,6739,竹陞科技,
2026-09-12,TPEX,7828,創新服務,
2026-09-12,TPEX,3078,僑威,
2026-09-12,TPEX,4105,東洋,
2026-09-12,TPEX,3680,家登,
2026-09-12,TPEX,8938,明安,
2026-09-12,TPEX,6122,擎邦,
2026-09-12,TPEX,8924,大田,
2026-09-12,TPEX,5287,數字,
2026-09-12,TPEX,6703,軒郁,
2026-09-12,TPEX,2718,全心投控,
2026-09-12,TPEX,4420,光明,
2026-09-12,TPEX,6187,萬潤,
2026-09-12,TPEX,6577,勁豐,
2026-09-12,TPEX,5209,新鼎,
2026-09-12,TPEX,5274,信驊,
