date,market,stock_id,name,trust_net
2026-08-11,TPEX,3211,順達,3780.0
2026-08-11,TPEX,4979,華星光,1660.0
2026-08-11,TPEX,6510,精測,99.0
2026-08-11,TPEX,3105,穩懋,85.0
2026-08-11,TPEX,4749,新應材,70.0
2026-08-11,TPEX,6187,萬潤,61.0
2026-08-11,TPEX,3529,力旺,31.0
2026-08-11,TPEX,6274,台燿,24.0
2026-08-11,TPEX,6223,旺矽,23.0
2026-08-11,TPEX,8358,金居,20.0
2026-08-11,TPEX,3081,聯亞,16.0
2026-08-11,TPEX,6138,茂達,10.0
2026-08-11,TPEX,6147,頎邦,10.0
2026-08-11,TPEX,3293,鈊象,6.0
2026-08-11,TPEX,4991,環宇-KY,5.0
2026-08-11,TPEX,1785,光洋科,4.0
2026-08-11,TPEX,1815,富喬,3.0
2026-08-11,TPEX,3324,雙鴻,0.0
