market,stock_id,name,revenue_period,revenue_month_yoy,revenue_cum_yoy,eps_year,eps_quarter,eps_cumulative,revenue_double_growth,eps_positive,revenue_data_ok,eps_data_ok
TWSE,1414,東和,11507,-14.624180688363646,-8.212580036132776,115,2,0.37,False,True,True,True
TWSE,1416,廣豐,11507,74.24763542562339,44.20247547874825,115,2,0.62,True,True,True,True
TWSE,1417,嘉裕,11507,-8.083175240858536,1.933108683399489,115,2,-0.09,False,False,True,True
TWSE,1418,東華,11507,4533.333333333333,19.461581604038138,115,2,-1.7,True,False,True,True
TWSE,1419,新紡,11507,30.690147664741048,28.412495239207548,115,2,11.2,True,True,True,True
TWSE,1423,利華,11507,10.14251341847122,4.214099432876599,115,2,0.41,True,True,True,True
TWSE,1432,大魯閣,11507,-40.614354715702056,-40.19873856253549,115,2,-1.11,False,False,True,True
TWSE,1434,福懋,11507,-1.5367091560748112,-4.420825213151666,115,2,0.5,False,True,True,True
TWSE,1435,中福,11507,0.0,0.0,115,2,-0.54,False,False,True,True
TWSE,1436,華友聯,11507,-93.98534232815337,-81.71383272054413,115,2,0.14,False,True,True,True
TWSE,1437,勤益控,11507,-34.01377652102974,-6.388363741621514,115,2,2.05,False,True,True,True
TWSE,1438,三地開發,11507,,178938.17427385892,115,2,0.22,False,True,False,True
TWSE,1439,雋揚,11507,-85.15410970207878,-64.22546998905763,115,2,1.08,False,True,True,True
TWSE,1440,南紡,11507,16.291977069676346,-12.73038213075657,115,2,0.14,False,True,True,True
TWSE,1441,大東,11507,-27.501156533807308,-22.921850894036428,115,2,-1.45,False,False,True,True
TWSE,1442,名軒,11507,11.41605383854186,-53.64602187638323,115,2,0.72,False,True,True,True
TWSE,1443,立益物流,11507,-5.163870813682765,-7.409889694092415,115,2,0.97,False,True,True,True
TWSE,1444,力麗,11507,-8.324766570482598,19.839712257240343,115,2,0.14,False,True,True,True
TWSE,1445,大宇,11507,8.639014373716632,-19.508002984675503,115,2,-0.22,False,False,True,True
TWSE,1446,宏和,11507,-87.6504116529449,-59.81815673224654,115,2,0.77,False,True,True,True
TWSE,1447,力鵬,11507,21.300402420792043,11.529384790018682,115,2,0.12,True,True,True,True
TWSE,1449,佳和,11507,133.64130708423545,46.4144468904606,115,2,-0.28,True,False,True,True
TWSE,1451,年興,11507,19.540102793838077,5.137484441005417,115,2,0.65,True,True,True,True
TWSE,1452,宏益,11507,-5.7129140662506,2.236593186910496,115,2,-0.07,False,False,True,True
TWSE,1453,大將,11507,-14.516129032258064,-0.9216589861751152,115,2,0.55,False,True,True,True
TWSE,1454,台富,11507,-6.446930371258619,-19.473091521983477,115,2,-0.41,False,False,True,True
TWSE,1455,集盛,11507,1.652149480191065,-17.331760531924896,115,2,0.91,False,True,True,True
TWSE,1456,怡華,11507,-18.12998757047899,-19.750393456800282,115,2,-1.07,False,False,True,True
TWSE,1457,宜進,11507,-1.640592523079836,-12.704415821632729,115,2,0.57,False,True,True,True
TWSE,1459,聯發,11507,5.107931171760959,-17.248994165879164,115,2,1.28,False,True,True,True
TWSE,1460,宏遠,11507,7.716051308610853,-15.149918051379645,115,2,-0.11,False,False,True,True
TWSE,1463,強盛新,11507,-22.069722755970353,-81.31712320918489,115,2,-0.13,False,False,True,True
TWSE,1464,得力,11507,4.0970247962277435,-4.278895978453413,115,2,0.36,False,True,True,True
TWSE,1465,偉全,11507,-25.74855889285631,-0.2327738743536445,115,2,0.18,False,True,True,True
TWSE,1466,聚隆,11507,7.873154729360306,-14.242308387528007,115,2,0.37,False,True,True,True
TWSE,1467,南緯,11507,-5.638119940322446,1.5665854078374515,115,2,-0.09,False,False,True,True
TWSE,1468,昶和,11507,-40.11202608368516,-41.801346705577394,115,2,0.3,False,True,True,True
TWSE,1470,大統新創,11507,-5.9493144993768174,-9.429680312179439,115,2,0.58,False,True,True,True
TWSE,1471,首利,11507,-42.1605550049554,-52.18280687997545,115,2,0.16,False,True,True,True
TWSE,1472,三洋實業,11507,16.5678481733682,7.459843714286661,115,2,3.47,True,True,True,True
TWSE,1473,台南,11507,12.313528893706389,-11.678744961324764,115,2,0.69,False,True,True,True
TWSE,1474,弘裕,11507,-8.793090793433318,-5.4668494820954345,115,2,0.07,False,True,True,True
TWSE,1475,業旺,11507,14.962854641138824,-2.241092401822202,115,2,1.06,False,True,True,True
TWSE,1476,儒鴻,11507,23.258140786148296,5.975350010329066,115,2,12.35,True,True,True,True
TWSE,1477,聚陽,11507,7.856471429280358,-1.6262286631959078,115,2,7.65,False,True,True,True
TWSE,1503,士電,11507,15.095917460669135,10.841582652981936,115,2,5.04,True,True,True,True
TWSE,1504,東元,11507,13.812315508219534,7.045862981994306,115,2,1.63,True,True,True,True
TWSE,1506,正道,11507,28.283090333627353,15.042932038140384,115,2,-0.05,True,False,True,True
TWSE,1512,瑞利,11507,-12.610349361382418,-0.5642122351143247,115,2,0.02,False,True,True,True
TWSE,1513,中興電,11507,3.8331030852383186,3.5316247778449688,115,2,4.5,True,True,True,True
TWSE,1514,亞力,11507,6.512567287562914,14.57127957221878,115,2,1.65,True,True,True,True
TWSE,1515,力山,11507,4.6147920803995905,1.3173618445887463,115,2,0.12,True,True,True,True
TWSE,1516,川飛,11507,59.83901715738191,37.77158897509007,115,2,-0.13,True,False,True,True
TWSE,1517,利奇,11507,36.33664743099492,-1.3711976058375197,115,2,-0.45,False,False,True,True
TWSE,1519,華城,11507,-8.315990648591809,-3.6793087320790088,115,2,6.52,False,True,True,True
TWSE,1521,大億,11507,-5.264859909327238,11.396744367202443,115,2,0.94,False,True,True,True
TWSE,1522,堤維西,11507,5.726949328430429,36.99368929319421,115,2,-0.76,True,False,True,True
TWSE,1524,耿鼎,11507,11.185396597713797,-7.9151095843822885,115,2,0.9,False,True,True,True
TWSE,1525,江申,11507,18.459651936046786,12.288361039513822,115,2,-0.13,True,False,True,True
TWSE,1526,日馳,11507,-14.820014600999606,-18.686188234167187,115,2,-0.81,False,False,True,True
TWSE,1527,鑽全,11507,-4.609350677477429,-12.857485973666385,115,2,0.83,False,True,True,True
TWSE,1528,恩德,11507,19.663056648930166,12.48434227488265,115,2,-0.6,True,False,True,True
TWSE,1529,樂事綠能,11507,-58.59981823122113,-16.68032047814102,115,2,0.5,False,True,True,True
TWSE,1530,亞崴,11507,28.061467875156108,-5.8539242046591955,115,2,0.21,False,True,True,True
TWSE,1531,高林股,11507,1.5665758506753231,-1.7279663493431339,115,2,-0.02,False,False,True,True
TWSE,1532,勤美,11507,25.314842586250425,15.322086841061394,115,2,0.1,True,True,True,True
TWSE,1533,車王電,11507,28.209165437610448,52.31684295702888,115,2,1.5,True,True,True,True
TWSE,1535,中宇,11507,-37.40993659238065,-26.522721956177858,115,2,1.64,False,True,True,True
TWSE,1536,和大,11507,9.591256885078383,1.027104497897174,115,2,-1.11,True,False,True,True
TWSE,1537,廣隆,11507,7.07920363595897,1.5978220014833544,115,2,4.01,True,True,True,True
TWSE,1538,正峰,11507,-75.50651230101302,-49.397090510030644,115,2,-1.76,False,False,True,True
TWSE,1539,巨庭,11507,-6.470612128843576,-20.977450894661338,115,2,0.21,False,True,True,True
TWSE,1540,喬福,11507,-41.212208465303775,-31.627338974865346,115,2,0.24,False,True,True,True
TWSE,1541,錩泰,11507,-34.10079918421552,-37.54275774462736,115,2,0.59,False,True,True,True
TWSE,1558,伸興,11507,25.12388702038025,3.6605557865814276,115,2,4.44,True,True,True,True
TWSE,1560,中砂,11507,26.562787821842832,23.562810503903478,115,2,6.44,True,True,True,True
TWSE,1563,巧新,11507,11.931737958061994,6.83344269531199,115,2,0.93,True,True,True,True
TWSE,1568,倉佑,11507,18.19798384572037,4.461251710701311,115,2,1.07,True,True,True,True
TWSE,1582,信錦,11507,22.47473038220297,-2.276454288204134,115,2,1.65,False,True,True,True
TWSE,1583,程泰,11507,23.932982481760025,8.146954782077424,115,2,0.53,True,True,True,True
TWSE,1587,吉茂,11507,-0.7847753580537571,10.547081946879766,115,2,-0.09,False,False,True,True
TWSE,1589,永冠-KY,11507,2.2503012479671027,5.497401264755915,,,,True,False,True,False
TWSE,1590,亞德客-KY,11507,50.77907738303081,32.86722140693869,,,,True,False,True,False
TWSE,1597,直得,11507,47.75050571703645,44.83356763865584,115,2,1.3,True,True,True,True
TWSE,1598,岱宇,11507,5.801340835150018,-6.282446123499698,115,2,0.64,False,True,True,True
TWSE,1603,華電,11507,2.6146009496552622,-0.8826130347791956,115,2,1.36,False,True,True,True
TWSE,1604,聲寶,11507,11.025851223345304,-0.2985935105439497,115,2,0.98,False,True,True,True
TWSE,1605,華新,11507,10.081873496610502,0.9822104906927125,115,2,2.85,True,True,True,True
TWSE,1608,華榮,11507,42.66714973997304,19.377380973915223,115,2,7.04,True,True,True,True
TWSE,1609,大亞,11507,11.53392035989283,17.912406165782176,115,2,2.24,True,True,True,True
TWSE,1611,中電,11507,-1.5724734042553192,-8.543042709092134,115,2,0.41,False,True,True,True
TWSE,1612,宏泰,11507,7.436381762652077,-0.07060715588912178,115,2,2.62,False,True,True,True
TWSE,1614,三洋電,11507,7.941769354689068,-5.902791932624878,115,2,0.67,False,True,True,True
TWSE,1615,大山,11507,11.515609321623053,3.477705404308912,115,2,2.53,True,True,True,True
TWSE,1616,億泰,11507,4.112093669239289,8.884921841816857,115,2,0.54,True,True,True,True
TWSE,1617,榮星,11507,40.378415976671704,28.285934098966113,115,2,0.21,True,True,True,True
TWSE,1618,合機,11507,187.03179652280386,2.596548930575971,115,2,2.9,True,True,True,True
