date,market,stock_id,name,open,high,low,close,volume
2026-04-16,TWSE,1101,台泥,24.75,25.2,24.6,25.0,21772980.0
2026-04-16,TWSE,1102,亞泥,35.45,35.55,35.05,35.5,9143578.0
2026-04-16,TWSE,1103,嘉泥,13.85,14.0,13.85,13.9,228987.0
2026-04-16,TWSE,1104,環泥,29.35,29.45,29.2,29.35,332405.0
2026-04-16,TWSE,1108,幸福,14.85,14.95,14.85,14.85,268057.0
2026-04-16,TWSE,1109,信大,15.6,15.6,15.45,15.45,171221.0
2026-04-16,TWSE,1110,東泥,15.75,16.1,15.75,15.95,282835.0
2026-04-16,TWSE,1201,味全,13.35,13.45,13.3,13.3,341179.0
2026-04-16,TWSE,1203,味王,42.4,42.9,42.3,42.9,68878.0
2026-04-16,TWSE,1210,大成,55.1,55.5,54.6,54.8,1896255.0
2026-04-16,TWSE,1213,大飲,8.93,9.28,8.93,9.28,36423.0
2026-04-16,TWSE,1215,卜蜂,144.0,144.0,141.5,144.0,1073724.0
2026-04-16,TWSE,1216,統一,72.8,73.3,72.4,73.0,8508981.0
2026-04-16,TWSE,1217,愛之味,10.4,10.4,10.35,10.35,454407.0
2026-04-16,TWSE,1218,泰山,19.1,19.2,19.1,19.2,705626.0
2026-04-16,TWSE,1219,福壽,14.5,14.5,14.0,14.15,1177674.0
2026-04-16,TWSE,1220,台榮,12.75,12.8,12.6,12.75,82847.0
2026-04-16,TWSE,1225,福懋油,34.1,34.25,33.8,34.05,173783.0
2026-04-16,TWSE,1227,佳格,30.0,30.05,29.85,29.9,680944.0
2026-04-16,TWSE,1229,聯華,43.9,44.4,43.9,44.3,1473168.0
2026-04-16,TWSE,1231,聯華食,89.9,90.9,89.9,90.4,236114.0
2026-04-16,TWSE,1232,大統益,150.0,150.5,149.5,150.5,83056.0
2026-04-16,TWSE,1233,天仁,29.65,30.0,29.35,29.6,15006.0
2026-04-16,TWSE,1234,黑松,36.1,36.35,36.05,36.25,136583.0
2026-04-16,TWSE,1235,興泰,43.45,45.9,43.25,45.35,51261.0
2026-04-16,TWSE,1236,宏亞,26.9,27.15,26.65,26.95,55555.0
2026-04-16,TWSE,1256,鮮活果汁-KY,153.0,156.5,153.0,155.0,45630.0
2026-04-16,TWSE,1301,台塑,53.0,54.5,51.7,54.5,40659384.0
2026-04-16,TWSE,1303,南亞,89.8,91.2,86.2,90.5,93119071.0
2026-04-16,TWSE,1304,台聚,15.4,15.55,15.2,15.25,8171643.0
2026-04-16,TWSE,1305,華夏,16.95,16.95,16.1,16.1,10948096.0
2026-04-16,TWSE,1307,三芳,32.05,32.3,31.9,32.05,539101.0
2026-04-16,TWSE,1308,亞聚,16.05,16.25,15.9,15.95,3957228.0
2026-04-16,TWSE,1309,台達化,21.25,21.5,20.65,20.75,10488883.0
2026-04-16,TWSE,1310,台苯,10.4,10.4,10.15,10.15,5711142.0
2026-04-16,TWSE,1312,國喬,14.5,14.6,14.0,14.1,13957184.0
2026-04-16,TWSE,1313,聯成,12.65,12.85,12.15,12.35,8261586.0
2026-04-16,TWSE,1314,中石化,7.8,7.84,7.75,7.8,15671642.0
2026-04-16,TWSE,1315,達新,64.7,64.9,64.2,64.7,39676.0
2026-04-16,TWSE,1316,上曜,12.25,12.45,12.15,12.2,2135335.0
2026-04-16,TWSE,1319,東陽,78.6,79.9,78.5,79.9,2121655.0
2026-04-16,TWSE,1321,大洋,33.25,33.35,33.0,33.1,127108.0
2026-04-16,TWSE,1323,永裕,21.7,21.7,21.15,21.3,107237.0
2026-04-16,TWSE,1324,地球,11.4,11.85,11.3,11.4,296034.0
2026-04-16,TWSE,1325,恆大,27.1,27.15,26.9,27.0,128985.0
2026-04-16,TWSE,1326,台化,50.6,52.5,49.95,52.1,34183302.0
2026-04-16,TWSE,1337,再生-KY,5.7,5.71,5.6,5.62,803690.0
2026-04-16,TWSE,1338,廣華-KY,16.3,16.5,16.3,16.45,130591.0
2026-04-16,TWSE,1339,昭輝,40.65,40.8,40.3,40.8,98473.0
2026-04-16,TWSE,1340,勝悅-KY,6.46,6.49,6.4,6.45,154413.0
2026-04-16,TWSE,1341,富林-KY,60.5,60.6,60.4,60.4,6018.0
2026-04-16,TWSE,1342,八貫,88.8,92.0,88.8,92.0,492001.0
2026-04-16,TWSE,1402,遠東新,26.5,26.5,26.25,26.45,16950019.0
2026-04-16,TWSE,1409,新纖,16.9,17.35,16.8,17.05,12119096.0
2026-04-16,TWSE,1410,南染,31.3,32.3,30.0,30.75,169450.0
2026-04-16,TWSE,1413,宏洲,9.85,9.92,9.42,9.85,37511.0
2026-04-16,TWSE,1414,東和,16.9,17.1,16.65,16.8,362587.0
2026-04-16,TWSE,1416,廣豐,11.65,11.7,11.5,11.6,188009.0
2026-04-16,TWSE,1417,嘉裕,9.06,9.08,8.99,9.04,193790.0
2026-04-16,TWSE,1418,東華,18.45,18.8,18.3,18.75,12552.0
