date,market,stock_id,name,open,high,low,close,volume
2026-06-24,TWSE,1101,台泥,24.15,24.35,24.0,24.2,26165910.0
2026-06-24,TWSE,1102,亞泥,35.7,36.1,35.5,36.0,11946921.0
2026-06-24,TWSE,1103,嘉泥,13.5,13.65,13.5,13.6,279880.0
2026-06-24,TWSE,1104,環泥,27.1,27.3,26.6,26.85,2939353.0
2026-06-24,TWSE,1108,幸福,13.75,13.85,13.7,13.8,352390.0
2026-06-24,TWSE,1109,信大,14.4,14.55,14.35,14.5,105195.0
2026-06-24,TWSE,1110,東泥,15.35,15.6,15.35,15.5,66166.0
2026-06-24,TWSE,1201,味全,12.35,12.5,12.35,12.4,533709.0
2026-06-24,TWSE,1203,味王,43.45,43.45,43.45,43.45,1440.0
2026-06-24,TWSE,1210,大成,54.6,55.5,54.5,54.8,1691084.0
2026-06-24,TWSE,1213,大飲,8.05,8.08,7.92,7.92,12001.0
2026-06-24,TWSE,1215,卜蜂,116.0,116.0,114.5,115.0,741442.0
2026-06-24,TWSE,1216,統一,75.0,75.5,74.5,75.1,19340861.0
2026-06-24,TWSE,1217,愛之味,9.85,9.89,9.8,9.83,416437.0
2026-06-24,TWSE,1218,泰山,17.85,17.95,17.8,17.95,859726.0
2026-06-24,TWSE,1219,福壽,12.45,12.5,12.35,12.35,209629.0
2026-06-24,TWSE,1220,台榮,11.7,11.7,11.5,11.6,104644.0
2026-06-24,TWSE,1225,福懋油,29.85,30.25,29.8,30.0,157622.0
2026-06-24,TWSE,1227,佳格,28.95,29.15,28.85,29.05,916087.0
2026-06-24,TWSE,1229,聯華,41.7,42.65,41.55,42.25,4349448.0
2026-06-24,TWSE,1231,聯華食,88.1,88.5,87.2,88.0,364108.0
2026-06-24,TWSE,1232,大統益,141.5,143.0,141.0,142.5,154711.0
2026-06-24,TWSE,1233,天仁,27.9,28.2,27.9,28.15,9173.0
2026-06-24,TWSE,1234,黑松,34.95,35.35,34.85,35.15,302828.0
2026-06-24,TWSE,1235,興泰,37.5,38.0,36.8,37.7,40000.0
2026-06-24,TWSE,1236,宏亞,25.8,25.85,25.7,25.8,20084.0
2026-06-24,TWSE,1256,鮮活果汁-KY,180.0,180.0,178.0,179.5,55364.0
2026-06-24,TWSE,1301,台塑,49.1,54.5,48.15,54.5,79265972.0
2026-06-24,TWSE,1303,南亞,145.5,169.5,145.5,156.0,72172088.0
2026-06-24,TWSE,1304,台聚,12.7,13.65,12.6,13.6,7614634.0
2026-06-24,TWSE,1305,華夏,12.5,13.45,12.4,13.3,4035966.0
2026-06-24,TWSE,1307,三芳,34.8,35.95,34.8,35.85,911033.0
2026-06-24,TWSE,1308,亞聚,13.45,14.25,13.4,14.25,2766299.0
2026-06-24,TWSE,1309,台達化,14.3,15.0,14.1,15.0,3595930.0
2026-06-24,TWSE,1310,台苯,9.5,10.1,9.5,9.93,8530055.0
2026-06-24,TWSE,1312,國喬,13.7,14.2,13.65,14.0,10482062.0
2026-06-24,TWSE,1313,聯成,11.4,11.85,11.3,11.8,4295390.0
2026-06-24,TWSE,1314,中石化,7.76,7.99,7.72,7.99,16175499.0
2026-06-24,TWSE,1315,達新,61.3,62.3,61.3,62.3,7905.0
2026-06-24,TWSE,1316,上曜,10.2,10.45,10.2,10.35,1195542.0
2026-06-24,TWSE,1319,東陽,80.0,80.0,77.5,79.5,13388431.0
2026-06-24,TWSE,1321,大洋,30.4,31.05,30.4,31.05,160717.0
2026-06-24,TWSE,1323,永裕,19.65,19.9,19.6,19.9,169373.0
2026-06-24,TWSE,1324,地球,10.3,10.4,10.25,10.35,49548.0
2026-06-24,TWSE,1325,恆大,25.95,25.95,25.55,25.6,211981.0
2026-06-24,TWSE,1326,台化,52.5,57.7,51.3,57.7,67367428.0
2026-06-24,TWSE,1337,再生-KY,4.96,5.0,4.9,4.92,621472.0
2026-06-24,TWSE,1338,廣華-KY,16.75,16.85,16.55,16.8,40924.0
2026-06-24,TWSE,1339,昭輝,43.3,44.7,43.3,44.3,154867.0
2026-06-24,TWSE,1340,勝悅-KY,5.5,5.57,5.46,5.48,124131.0
2026-06-24,TWSE,1341,富林-KY,58.4,58.4,58.2,58.2,13155.0
2026-06-24,TWSE,1342,八貫,115.0,117.0,114.0,115.0,416544.0
2026-06-24,TWSE,1402,遠東新,28.55,28.85,28.2,28.45,23793831.0
2026-06-24,TWSE,1409,新纖,27.6,29.3,27.1,27.95,46179939.0
2026-06-24,TWSE,1410,南染,25.1,25.1,24.5,24.6,36076.0
2026-06-24,TWSE,1413,宏洲,9.31,9.57,9.29,9.38,35858.0
2026-06-24,TWSE,1414,東和,17.1,17.65,17.1,17.2,191340.0
2026-06-24,TWSE,1416,廣豐,10.85,10.9,10.8,10.8,175371.0
2026-06-24,TWSE,1417,嘉裕,8.37,8.48,8.33,8.44,160605.0
2026-06-24,TWSE,1418,東華,17.8,18.55,17.8,18.2,24752.0
2026-06-24,TWSE,1419,新紡,66.6,66.8,65.0,66.6,167145.0
2026-06-24,TWSE,1423,利華,37.8,38.7,37.8,38.2,19934.0
2026-06-24,TWSE,1432,大魯閣,15.85,15.9,15.65,15.75,482023.0
2026-06-24,TWSE,1434,福懋,16.5,16.95,16.4,16.95,4279922.0
2026-06-24,TWSE,1435,中福,18.75,18.75,18.75,18.75,10963.0
2026-06-24,TWSE,1436,華友聯,45.25,45.45,45.0,45.1,305156.0
2026-06-24,TWSE,1437,勤益控,30.0,30.1,29.9,30.05,76210.0
2026-06-24,TWSE,1438,三地開發,21.45,23.4,21.3,22.8,347602.0
2026-06-24,TWSE,1439,雋揚,24.05,24.25,24.05,24.25,2100.0
2026-06-24,TWSE,1440,南紡,13.35,13.45,13.15,13.3,2087283.0
2026-06-24,TWSE,1441,大東,9.1,9.31,9.1,9.15,31918.0
2026-06-24,TWSE,1442,名軒,26.9,27.3,26.9,27.25,153253.0
2026-06-24,TWSE,1443,立益物流,27.1,27.1,26.8,27.1,10230.0
2026-06-24,TWSE,1444,力麗,6.99,7.01,6.87,6.92,1168265.0
2026-06-24,TWSE,1445,大宇,10.85,11.0,10.75,10.85,163158.0
2026-06-24,TWSE,1446,宏和,16.65,16.8,16.5,16.65,259009.0
2026-06-24,TWSE,1447,力鵬,6.07,6.24,5.96,6.19,1289358.0
2026-06-24,TWSE,1449,佳和,15.1,15.15,14.65,14.95,1643997.0
2026-06-24,TWSE,1451,年興,16.85,17.1,16.75,17.05,431095.0
2026-06-24,TWSE,1452,宏益,10.9,11.0,10.85,11.0,60952.0
2026-06-24,TWSE,1453,大將,11.5,11.65,11.5,11.6,35655.0
2026-06-24,TWSE,1454,台富,12.75,12.85,12.4,12.8,65220.0
2026-06-24,TWSE,1455,集盛,9.32,9.57,9.31,9.55,653147.0
2026-06-24,TWSE,1456,怡華,15.35,15.35,14.5,14.9,108700.0
2026-06-24,TWSE,1457,宜進,14.05,14.25,14.05,14.2,126542.0
2026-06-24,TWSE,1459,聯發,11.8,11.8,11.7,11.7,82325.0
2026-06-24,TWSE,1460,宏遠,7.08,7.13,7.0,7.08,585041.0
2026-06-24,TWSE,1463,強盛新,17.15,17.45,17.1,17.45,55414.0
2026-06-24,TWSE,1464,得力,10.05,10.25,10.05,10.15,557589.0
2026-06-24,TWSE,1465,偉全,12.45,12.75,12.4,12.75,155958.0
2026-06-24,TWSE,1466,聚隆,14.35,14.35,14.0,14.05,278087.0
2026-06-24,TWSE,1467,南緯,7.03,7.13,7.03,7.1,90635.0
2026-06-24,TWSE,1468,昶和,11.85,11.9,11.75,11.85,38477.0
2026-06-24,TWSE,1470,大統新創,22.2,22.2,22.2,22.2,2231.0
2026-06-24,TWSE,1471,首利,10.8,11.5,10.8,11.05,1345292.0
2026-06-24,TWSE,1472,三洋實業,88.6,89.6,88.6,89.4,38336.0
2026-06-24,TWSE,1473,台南,20.0,20.1,19.8,19.8,161379.0
2026-06-24,TWSE,1474,弘裕,10.15,10.15,10.05,10.15,75343.0
2026-06-24,TWSE,1475,業旺,27.25,27.3,27.0,27.0,15000.0
2026-06-24,TWSE,1476,儒鴻,315.0,322.0,308.5,319.5,1734361.0
2026-06-24,TWSE,1477,聚陽,215.0,219.0,214.0,217.0,5634165.0
2026-06-24,TWSE,1503,士電,246.0,250.0,243.0,248.0,10492173.0
2026-06-24,TWSE,1504,東元,72.2,72.7,70.6,71.9,14452130.0
2026-06-24,TWSE,1506,正道,10.1,10.15,10.0,10.05,378045.0
2026-06-24,TWSE,1512,瑞利,6.99,6.99,6.71,6.8,113963.0
2026-06-24,TWSE,1513,中興電,183.0,185.0,179.0,185.0,21240039.0
2026-06-24,TWSE,1514,亞力,129.0,129.5,125.5,128.0,10112113.0
2026-06-24,TWSE,1515,力山,26.8,27.5,26.4,27.0,1279394.0
2026-06-24,TWSE,1516,川飛,20.0,20.45,20.0,20.4,19214.0
2026-06-24,TWSE,1517,利奇,10.35,10.45,10.25,10.45,135204.0
2026-06-24,TWSE,1519,華城,826.0,837.0,816.0,819.0,2943285.0
2026-06-24,TWSE,1521,大億,26.0,26.85,26.0,26.4,30065.0
2026-06-24,TWSE,1522,堤維西,30.4,30.75,30.0,30.5,725961.0
2026-06-24,TWSE,1524,耿鼎,28.95,29.6,28.8,29.35,459663.0
2026-06-24,TWSE,1525,江申,66.0,66.6,65.8,65.8,19700.0
2026-06-24,TWSE,1526,日馳,14.2,14.4,14.15,14.4,67374.0
2026-06-24,TWSE,1527,鑽全,33.05,33.5,33.0,33.5,205728.0
2026-06-24,TWSE,1528,恩德,24.6,24.9,24.5,24.65,2331116.0
2026-06-24,TWSE,1529,樂事綠能,23.05,23.35,22.7,22.75,935281.0
2026-06-24,TWSE,1530,亞崴,28.75,29.75,28.6,29.3,80080.0
2026-06-24,TWSE,1531,高林股,12.8,12.9,12.8,12.9,94439.0
2026-06-24,TWSE,1532,勤美,22.8,23.2,22.8,23.05,399193.0
2026-06-24,TWSE,1533,車王電,36.4,37.0,36.35,36.85,144169.0
2026-06-24,TWSE,1535,中宇,50.0,50.1,49.75,50.1,47998.0
2026-06-24,TWSE,1536,和大,48.7,49.2,48.35,48.65,1748894.0
2026-06-24,TWSE,1537,廣隆,125.5,126.5,125.5,126.0,41456.0
2026-06-24,TWSE,1538,正峰,11.8,11.85,11.8,11.85,2175.0
2026-06-24,TWSE,1539,巨庭,15.7,15.8,15.7,15.7,58801.0
2026-06-24,TWSE,1540,喬福,21.65,21.95,21.55,21.8,175748.0
2026-06-24,TWSE,1541,錩泰,22.3,22.3,21.65,22.1,20186.0
2026-06-24,TWSE,1558,伸興,90.9,91.2,90.5,90.7,52935.0
2026-06-24,TWSE,1560,中砂,719.0,770.0,719.0,749.0,3155320.0
2026-06-24,TWSE,1563,巧新,69.0,69.0,64.7,64.8,4521637.0
2026-06-24,TWSE,1568,倉佑,43.9,44.15,40.8,41.4,1491750.0
2026-06-24,TWSE,1582,信錦,90.0,91.4,89.5,90.3,1561571.0
2026-06-24,TWSE,1583,程泰,50.7,51.4,50.0,50.9,46665.0
2026-06-24,TWSE,1587,吉茂,27.05,27.45,27.05,27.4,243495.0
2026-06-24,TWSE,1590,亞德客-KY,1375.0,1405.0,1355.0,1385.0,1144206.0
2026-06-24,TWSE,1597,直得,151.0,152.5,147.0,150.5,1241957.0
2026-06-24,TWSE,1598,岱宇,19.7,19.7,19.45,19.45,219499.0
2026-06-24,TWSE,1603,華電,31.15,31.35,31.05,31.3,154132.0
2026-06-24,TWSE,1604,聲寶,23.15,23.3,23.05,23.25,461105.0
2026-06-24,TWSE,1605,華新,37.15,38.4,36.6,38.15,27657979.0
2026-06-24,TWSE,1608,華榮,34.3,34.85,34.1,34.5,1800650.0
2026-06-24,TWSE,1609,大亞,37.1,37.65,36.7,37.4,3585172.0
2026-06-24,TWSE,1611,中電,13.2,13.35,13.1,13.25,588556.0
2026-06-24,TWSE,1612,宏泰,37.4,37.75,37.15,37.6,781417.0
2026-06-24,TWSE,1614,三洋電,31.75,31.85,31.7,31.85,21077.0
2026-06-24,TWSE,1615,大山,44.75,45.05,44.55,44.85,115753.0
2026-06-24,TWSE,1616,億泰,21.75,22.15,21.65,22.15,327185.0
2026-06-24,TWSE,1617,榮星,15.95,15.95,15.75,15.9,96825.0
2026-06-24,TWSE,1618,合機,42.0,42.2,41.55,42.05,538363.0
2026-06-24,TWSE,1623,大東電,214.0,218.0,212.0,218.0,76522.0
2026-06-24,TWSE,1626,艾美特-KY,9.78,9.91,9.75,9.86,82365.0
2026-06-24,TWSE,1702,南僑,31.5,31.7,31.4,31.55,339180.0
2026-06-24,TWSE,1707,葡萄王,97.0,98.3,96.5,96.8,639635.0
2026-06-24,TWSE,1708,東鹼,48.8,52.5,48.8,52.2,11726065.0
2026-06-24,TWSE,1709,和益,20.85,21.45,20.85,21.3,669586.0
2026-06-24,TWSE,1710,東聯,13.5,13.85,13.35,13.8,3404754.0
2026-06-24,TWSE,1711,永光,46.1,49.5,45.85,47.7,10119969.0
2026-06-24,TWSE,1712,興農,38.9,39.25,38.85,39.15,494613.0
2026-06-24,TWSE,1713,國化,49.6,50.5,49.6,50.5,225127.0
2026-06-24,TWSE,1714,和桐,18.2,19.2,18.2,19.05,13450753.0
2026-06-24,TWSE,1717,長興,71.2,75.2,70.7,73.9,12579147.0
2026-06-24,TWSE,1718,中纖,9.04,9.41,8.96,9.23,16068258.0
