date,market,stock_id,name,open,high,low,close,volume
2026-05-06,TWSE,1101,台泥,24.25,25.4,24.1,25.05,44638336.0
2026-05-06,TWSE,1102,亞泥,34.95,35.3,34.9,35.2,6226612.0
2026-05-06,TWSE,1103,嘉泥,13.4,13.45,13.25,13.45,335248.0
2026-05-06,TWSE,1104,環泥,28.25,28.45,28.15,28.3,427061.0
2026-05-06,TWSE,1108,幸福,14.65,14.65,14.55,14.6,188939.0
2026-05-06,TWSE,1109,信大,15.45,15.45,15.3,15.4,177696.0
2026-05-06,TWSE,1110,東泥,15.15,15.2,14.95,15.1,115107.0
2026-05-06,TWSE,1201,味全,12.35,12.35,12.2,12.3,372206.0
2026-05-06,TWSE,1203,味王,43.8,43.8,42.55,43.7,31146.0
2026-05-06,TWSE,1210,大成,52.4,52.4,51.8,52.0,2593678.0
2026-05-06,TWSE,1213,大飲,8.92,8.92,8.8,8.85,15100.0
2026-05-06,TWSE,1215,卜蜂,142.0,142.0,139.0,139.5,2226435.0
2026-05-06,TWSE,1216,統一,69.6,69.6,68.5,68.7,16462509.0
2026-05-06,TWSE,1217,愛之味,9.73,9.73,9.66,9.69,963695.0
2026-05-06,TWSE,1218,泰山,18.8,18.85,18.7,18.85,514458.0
2026-05-06,TWSE,1219,福壽,13.45,13.45,13.35,13.4,531726.0
2026-05-06,TWSE,1220,台榮,12.35,12.45,12.3,12.35,156569.0
2026-05-06,TWSE,1225,福懋油,32.05,33.15,31.9,33.15,462993.0
2026-05-06,TWSE,1227,佳格,28.9,28.95,28.75,28.75,986091.0
2026-05-06,TWSE,1229,聯華,41.6,41.6,41.15,41.35,3059182.0
2026-05-06,TWSE,1231,聯華食,88.0,88.0,86.4,86.8,487004.0
2026-05-06,TWSE,1232,大統益,148.0,149.0,147.5,148.5,83856.0
2026-05-06,TWSE,1233,天仁,28.95,29.0,28.85,29.0,23238.0
2026-05-06,TWSE,1234,黑松,35.0,35.1,35.0,35.05,169644.0
2026-05-06,TWSE,1235,興泰,43.0,45.5,43.0,44.75,30836.0
2026-05-06,TWSE,1236,宏亞,26.1,26.3,25.95,26.15,94420.0
2026-05-06,TWSE,1256,鮮活果汁-KY,164.5,165.0,161.5,164.0,59051.0
2026-05-06,TWSE,1301,台塑,51.8,52.0,50.6,50.7,20753172.0
2026-05-06,TWSE,1303,南亞,97.2,101.5,92.0,93.8,151794126.0
2026-05-06,TWSE,1304,台聚,13.65,13.65,13.15,13.2,7910042.0
2026-05-06,TWSE,1305,華夏,13.8,13.9,13.1,13.3,6421705.0
2026-05-06,TWSE,1307,三芳,31.5,31.6,31.1,31.25,985818.0
2026-05-06,TWSE,1308,亞聚,14.1,14.1,13.7,13.7,4039189.0
2026-05-06,TWSE,1309,台達化,18.6,18.8,18.15,18.25,11945561.0
2026-05-06,TWSE,1310,台苯,8.99,8.99,8.76,8.78,4106488.0
2026-05-06,TWSE,1312,國喬,12.0,12.0,11.65,11.65,5961006.0
2026-05-06,TWSE,1313,聯成,11.0,11.0,10.6,10.8,4514779.0
2026-05-06,TWSE,1314,中石化,7.4,7.4,7.22,7.23,15355551.0
2026-05-06,TWSE,1315,達新,62.6,62.6,62.1,62.4,27155.0
2026-05-06,TWSE,1316,上曜,11.25,11.85,11.2,11.5,4857269.0
2026-05-06,TWSE,1319,東陽,77.6,77.6,75.1,75.4,4643982.0
2026-05-06,TWSE,1321,大洋,29.8,29.8,29.15,29.25,657132.0
2026-05-06,TWSE,1323,永裕,19.9,19.9,19.55,19.7,107505.0
2026-05-06,TWSE,1324,地球,10.4,10.4,10.3,10.4,108276.0
2026-05-06,TWSE,1325,恆大,27.15,27.15,26.0,26.5,325201.0
2026-05-06,TWSE,1326,台化,52.3,52.9,50.8,51.0,21291741.0
2026-05-06,TWSE,1337,再生-KY,5.06,5.06,4.9,4.96,540487.0
2026-05-06,TWSE,1338,廣華-KY,16.05,16.05,15.65,15.8,62008.0
2026-05-06,TWSE,1339,昭輝,40.7,40.7,40.3,40.55,55119.0
2026-05-06,TWSE,1340,勝悅-KY,5.65,5.68,5.55,5.6,188383.0
2026-05-06,TWSE,1341,富林-KY,60.8,61.8,60.8,61.8,16715.0
2026-05-06,TWSE,1342,八貫,94.2,94.7,92.5,93.8,529774.0
2026-05-06,TWSE,1402,遠東新,25.9,26.1,25.65,26.1,9416608.0
2026-05-06,TWSE,1409,新纖,17.15,17.3,16.85,16.9,8424257.0
2026-05-06,TWSE,1410,南染,28.9,29.15,28.3,28.95,131173.0
2026-05-06,TWSE,1413,宏洲,9.61,9.66,9.5,9.65,54351.0
2026-05-06,TWSE,1414,東和,16.65,16.65,16.15,16.5,480922.0
2026-05-06,TWSE,1416,廣豐,11.3,11.4,11.3,11.35,169225.0
2026-05-06,TWSE,1417,嘉裕,8.93,8.93,8.82,8.86,115433.0
2026-05-06,TWSE,1418,東華,19.1,19.6,19.1,19.1,46238.0
2026-05-06,TWSE,1419,新紡,64.4,65.0,62.9,64.3,133902.0
2026-05-06,TWSE,1423,利華,40.8,41.2,40.75,41.1,84809.0
2026-05-06,TWSE,1432,大魯閣,16.95,16.95,16.7,16.8,373143.0
2026-05-06,TWSE,1434,福懋,16.1,16.2,16.0,16.1,2127266.0
2026-05-06,TWSE,1436,華友聯,50.0,50.0,49.05,49.3,259683.0
2026-05-06,TWSE,1437,勤益控,29.4,29.45,29.25,29.4,79406.0
2026-05-06,TWSE,1438,三地開發,21.1,21.1,20.0,20.45,78059.0
2026-05-06,TWSE,1439,雋揚,26.9,26.9,26.2,26.6,28001.0
2026-05-06,TWSE,1440,南紡,12.6,12.65,12.5,12.55,1488947.0
2026-05-06,TWSE,1441,大東,9.9,10.0,9.85,9.87,63679.0
2026-05-06,TWSE,1442,名軒,26.85,26.85,26.2,26.3,449945.0
2026-05-06,TWSE,1443,立益物流,22.95,23.95,22.4,23.8,69740.0
2026-05-06,TWSE,1444,力麗,5.96,6.02,5.93,6.01,1128148.0
2026-05-06,TWSE,1445,大宇,12.55,13.8,12.55,12.8,143723.0
2026-05-06,TWSE,1446,宏和,15.55,15.65,15.45,15.6,155107.0
2026-05-06,TWSE,1447,力鵬,5.0,5.0,4.95,4.96,930755.0
2026-05-06,TWSE,1449,佳和,13.5,13.5,12.9,13.0,1252518.0
2026-05-06,TWSE,1451,年興,16.95,16.95,16.7,16.95,121357.0
2026-05-06,TWSE,1452,宏益,11.25,11.3,11.15,11.25,97147.0
2026-05-06,TWSE,1453,大將,11.6,11.85,11.35,11.85,263994.0
2026-05-06,TWSE,1454,台富,14.0,14.0,13.65,13.95,31029.0
2026-05-06,TWSE,1455,集盛,8.12,8.12,8.01,8.09,560589.0
2026-05-06,TWSE,1456,怡華,13.4,13.4,12.8,12.95,67030.0
2026-05-06,TWSE,1457,宜進,14.45,14.6,14.45,14.6,215701.0
2026-05-06,TWSE,1459,聯發,12.05,12.2,12.0,12.1,246097.0
2026-05-06,TWSE,1460,宏遠,7.0,7.15,6.95,7.12,1277390.0
2026-05-06,TWSE,1463,強盛新,18.4,18.4,18.2,18.4,39780.0
2026-05-06,TWSE,1464,得力,9.91,9.97,9.89,9.91,751955.0
2026-05-06,TWSE,1465,偉全,12.2,12.45,12.2,12.35,107698.0
2026-05-06,TWSE,1466,聚隆,16.1,16.1,15.15,15.95,334442.0
2026-05-06,TWSE,1467,南緯,7.18,7.21,7.09,7.16,283967.0
2026-05-06,TWSE,1468,昶和,12.1,12.2,11.95,12.2,50000.0
2026-05-06,TWSE,1470,大統新創,22.5,22.8,21.9,22.5,40883.0
2026-05-06,TWSE,1471,首利,11.5,11.5,11.0,11.2,779847.0
2026-05-06,TWSE,1472,三洋實業,90.7,90.9,89.6,90.5,9368.0
2026-05-06,TWSE,1473,台南,20.7,20.8,20.6,20.7,165904.0
2026-05-06,TWSE,1474,弘裕,9.99,10.0,9.94,9.97,187437.0
2026-05-06,TWSE,1475,業旺,27.5,27.55,27.4,27.45,57483.0
2026-05-06,TWSE,1476,儒鴻,336.5,342.5,332.0,333.0,771954.0
2026-05-06,TWSE,1477,聚陽,211.0,216.0,208.0,212.5,2357738.0
2026-05-06,TWSE,1503,士電,201.5,201.5,195.0,196.5,2113355.0
2026-05-06,TWSE,1504,東元,68.2,69.3,67.1,67.3,21955194.0
2026-05-06,TWSE,1506,正道,10.7,10.7,10.5,10.5,228931.0
2026-05-06,TWSE,1512,瑞利,7.66,7.66,7.3,7.35,133451.0
2026-05-06,TWSE,1513,中興電,157.0,158.0,154.0,155.5,10727471.0
2026-05-06,TWSE,1514,亞力,122.5,125.0,117.5,118.5,7060694.0
2026-05-06,TWSE,1515,力山,22.25,22.25,21.8,21.95,420408.0
2026-05-06,TWSE,1516,川飛,21.8,21.95,20.55,21.8,151128.0
2026-05-06,TWSE,1517,利奇,10.35,10.35,10.2,10.25,322495.0
2026-05-06,TWSE,1519,華城,903.0,905.0,886.0,887.0,2236888.0
2026-05-06,TWSE,1521,大億,25.2,25.2,24.65,24.7,49414.0
2026-05-06,TWSE,1522,堤維西,31.7,31.9,31.05,31.05,1080544.0
2026-05-06,TWSE,1524,耿鼎,28.7,28.8,28.2,28.4,740670.0
2026-05-06,TWSE,1525,江申,63.7,63.7,61.1,62.7,50149.0
2026-05-06,TWSE,1526,日馳,16.15,16.3,16.0,16.05,213567.0
2026-05-06,TWSE,1527,鑽全,32.95,32.95,32.55,32.65,134843.0
2026-05-06,TWSE,1528,恩德,29.4,29.65,27.8,28.05,11597185.0
2026-05-06,TWSE,1529,樂事綠能,22.7,22.9,22.3,22.4,554321.0
2026-05-06,TWSE,1530,亞崴,26.1,26.55,25.6,26.3,67272.0
2026-05-06,TWSE,1531,高林股,13.15,13.25,12.9,13.0,188496.0
2026-05-06,TWSE,1532,勤美,20.9,20.9,20.5,20.6,1011419.0
2026-05-06,TWSE,1533,車王電,33.0,33.85,32.65,33.7,527982.0
2026-05-06,TWSE,1535,中宇,50.9,51.3,50.5,51.1,69903.0
2026-05-06,TWSE,1536,和大,57.0,57.1,54.3,54.6,3066297.0
2026-05-06,TWSE,1537,廣隆,123.0,123.0,122.0,123.0,56408.0
2026-05-06,TWSE,1538,正峰,12.15,12.95,12.15,12.95,23713.0
2026-05-06,TWSE,1539,巨庭,16.0,16.0,15.7,15.8,186464.0
2026-05-06,TWSE,1540,喬福,21.6,21.6,20.95,21.1,361069.0
2026-05-06,TWSE,1541,錩泰,23.5,23.65,22.9,23.25,83020.0
2026-05-06,TWSE,1558,伸興,91.9,91.9,91.0,91.7,48970.0
2026-05-06,TWSE,1560,中砂,583.0,601.0,562.0,576.0,3768769.0
2026-05-06,TWSE,1563,巧新,41.4,42.4,40.45,42.05,1132211.0
2026-05-06,TWSE,1568,倉佑,29.95,29.95,28.8,29.05,381122.0
2026-05-06,TWSE,1582,信錦,93.7,94.0,88.8,90.6,3868067.0
2026-05-06,TWSE,1583,程泰,48.25,48.45,47.0,48.45,63334.0
2026-05-06,TWSE,1587,吉茂,33.2,33.5,32.7,33.0,486727.0
2026-05-06,TWSE,1590,亞德客-KY,1435.0,1475.0,1405.0,1435.0,1062492.0
2026-05-06,TWSE,1597,直得,190.0,190.0,169.5,178.0,14885898.0
2026-05-06,TWSE,1598,岱宇,20.6,21.0,20.2,20.75,342126.0
2026-05-06,TWSE,1603,華電,32.25,32.25,31.7,32.0,333564.0
2026-05-06,TWSE,1604,聲寶,22.85,22.85,22.7,22.8,362819.0
2026-05-06,TWSE,1605,華新,33.0,33.25,32.25,32.6,31932815.0
2026-05-06,TWSE,1608,華榮,33.35,33.35,32.85,33.05,2811078.0
2026-05-06,TWSE,1609,大亞,33.35,33.45,32.75,32.9,3014664.0
2026-05-06,TWSE,1611,中電,11.8,11.9,11.75,11.8,436889.0
2026-05-06,TWSE,1612,宏泰,36.8,36.9,36.35,36.75,1238369.0
2026-05-06,TWSE,1614,三洋電,31.85,32.05,31.75,31.95,79748.0
2026-05-06,TWSE,1615,大山,46.95,46.95,45.0,45.5,416978.0
2026-05-06,TWSE,1616,億泰,22.45,22.45,21.75,21.75,1000211.0
2026-05-06,TWSE,1617,榮星,15.05,15.15,14.9,15.05,269904.0
2026-05-06,TWSE,1618,合機,38.7,38.9,38.35,38.5,594115.0
2026-05-06,TWSE,1623,大東電,248.0,249.0,243.0,244.5,135116.0
2026-05-06,TWSE,1626,艾美特-KY,11.1,11.25,11.0,11.0,50448.0
2026-05-06,TWSE,1702,南僑,34.8,34.85,34.5,34.6,722296.0
2026-05-06,TWSE,1707,葡萄王,112.5,112.5,112.0,112.5,149323.0
2026-05-06,TWSE,1708,東鹼,40.45,40.45,39.2,39.2,2786604.0
2026-05-06,TWSE,1709,和益,18.5,18.75,18.5,18.55,427758.0
2026-05-06,TWSE,1710,東聯,12.65,12.65,12.3,12.35,2782070.0
2026-05-06,TWSE,1711,永光,63.0,63.0,58.9,60.9,4591119.0
2026-05-06,TWSE,1712,興農,41.95,42.2,41.9,42.15,384307.0
2026-05-06,TWSE,1713,國化,47.15,47.15,46.4,46.6,226325.0
2026-05-06,TWSE,1714,和桐,9.26,9.32,9.12,9.18,3545725.0
2026-05-06,TWSE,1717,長興,79.7,81.2,76.9,79.4,42518797.0
2026-05-06,TWSE,1718,中纖,6.56,6.56,6.42,6.42,4191899.0
2026-05-06,TWSE,1720,生達,61.5,61.5,60.9,61.3,184036.0
2026-05-06,TWSE,1721,三晃,29.35,29.35,26.7,28.4,7475302.0
2026-05-06,TWSE,1722,台肥,47.05,47.55,46.55,46.85,5231012.0
2026-05-06,TWSE,1723,中碳,78.2,79.0,77.4,78.8,611663.0
2026-05-06,TWSE,1725,元禎,31.0,31.2,30.55,30.75,123511.0
2026-05-06,TWSE,1726,永記,76.0,76.2,75.6,76.2,40226.0
2026-05-06,TWSE,1727,中華化,79.6,80.8,74.8,78.1,9548641.0
2026-05-06,TWSE,1730,花仙子,53.8,53.8,52.5,52.9,77050.0
2026-05-06,TWSE,1731,美吾華,21.6,21.7,21.6,21.7,78042.0
2026-05-06,TWSE,1732,毛寶,27.0,27.0,26.0,26.25,203425.0
2026-05-06,TWSE,1733,五鼎,28.65,28.65,28.2,28.2,129835.0
2026-05-06,TWSE,1734,杏輝,31.4,31.4,30.9,30.9,569271.0
2026-05-06,TWSE,1735,日勝化,27.05,27.2,25.65,25.8,734209.0
2026-05-06,TWSE,1736,喬山,126.5,127.5,122.5,123.0,491059.0
2026-05-06,TWSE,1737,臺鹽,31.85,31.85,31.5,31.65,95572.0
2026-05-06,TWSE,1752,南光,33.6,33.6,33.3,33.55,79188.0
2026-05-06,TWSE,1760,寶齡富錦,66.8,67.1,65.1,65.2,264891.0
2026-05-06,TWSE,1762,中化生,32.05,32.05,32.05,32.05,415960.0
2026-05-06,TWSE,1773,勝一,180.0,181.5,173.0,175.5,1447758.0
2026-05-06,TWSE,1776,展宇,17.5,17.55,16.9,16.95,111406.0
2026-05-06,TWSE,1783,和康生,39.3,39.6,38.95,39.45,94367.0
2026-05-06,TWSE,1786,科妍,56.9,58.5,56.2,58.1,448980.0
2026-05-06,TWSE,1789,神隆,20.55,20.55,20.35,20.35,738753.0
2026-05-06,TWSE,1795,美時,226.5,227.0,225.0,226.5,1976724.0
2026-05-06,TWSE,1802,台玻,73.8,75.5,69.4,71.2,245896349.0
2026-05-06,TWSE,1805,寶徠,10.75,10.75,10.6,10.75,98545.0
2026-05-06,TWSE,1806,冠軍,8.45,8.46,8.22,8.22,512391.0
2026-05-06,TWSE,1808,潤隆,28.5,28.6,28.2,28.3,1149170.0
2026-05-06,TWSE,1809,中釉,34.15,34.15,32.9,34.15,19148538.0
2026-05-06,TWSE,1810,和成,20.0,20.0,18.45,18.65,3773263.0
2026-05-06,TWSE,1817,凱撒衛,38.9,38.9,38.3,38.6,65881.0
2026-05-06,TWSE,1903,士紙,49.75,49.75,47.8,49.15,306760.0
2026-05-06,TWSE,1904,正隆,17.8,17.8,17.5,17.6,1451133.0
2026-05-06,TWSE,1905,華紙,12.9,12.95,12.6,12.65,2466233.0
2026-05-06,TWSE,1906,寶隆,11.55,11.55,11.2,11.25,66861.0
2026-05-06,TWSE,1907,永豐餘,24.0,24.0,23.5,23.85,1248571.0
2026-05-06,TWSE,1909,榮成,9.03,9.04,8.94,8.97,3642525.0
2026-05-06,TWSE,2002,中鋼,18.6,18.95,18.5,18.8,58218566.0
2026-05-06,TWSE,2006,東和鋼鐵,66.8,67.4,66.3,66.7,1695615.0
2026-05-06,TWSE,2007,燁興,7.47,7.47,7.35,7.39,453881.0
2026-05-06,TWSE,2008,高興昌,27.6,28.55,27.55,28.0,17020.0
2026-05-06,TWSE,2009,第一銅,38.35,38.55,37.9,38.4,1581101.0
2026-05-06,TWSE,2010,春源,24.95,25.05,24.65,24.85,1621740.0
2026-05-06,TWSE,2012,春雨,15.15,15.15,14.9,15.05,104150.0
2026-05-06,TWSE,2013,中鋼構,43.2,43.2,42.6,43.0,97961.0
2026-05-06,TWSE,2014,中鴻,17.55,18.2,17.4,18.05,8188938.0
2026-05-06,TWSE,2015,豐興,61.4,62.5,61.1,62.5,416842.0
2026-05-06,TWSE,2017,官田鋼,8.7,8.73,8.63,8.7,783866.0
2026-05-06,TWSE,2020,美亞,21.8,21.85,21.65,21.8,686141.0
2026-05-06,TWSE,2022,聚亨,8.03,8.08,7.93,8.06,897395.0
2026-05-06,TWSE,2023,燁輝,13.95,14.1,13.85,14.05,2269549.0
2026-05-06,TWSE,2024,志聯,14.35,14.35,13.95,13.95,33172.0
2026-05-06,TWSE,2025,千興,10.95,11.4,10.9,10.9,266799.0
2026-05-06,TWSE,2027,大成鋼,38.05,38.75,37.75,38.45,31091906.0
2026-05-06,TWSE,2028,威致,17.45,17.45,16.8,17.35,219645.0
2026-05-06,TWSE,2029,盛餘,20.4,20.4,20.1,20.25,119206.0
2026-05-06,TWSE,2030,彰源,15.9,16.2,15.75,16.1,794046.0
2026-05-06,TWSE,2031,新光鋼,40.45,40.45,39.25,39.4,2552878.0
2026-05-06,TWSE,2032,新鋼,15.5,15.9,15.4,15.8,450932.0
2026-05-06,TWSE,2033,佳大,15.3,15.5,15.1,15.5,176068.0
2026-05-06,TWSE,2034,允強,20.9,21.5,20.7,21.4,1859228.0
2026-05-06,TWSE,2038,海光,13.9,14.1,13.75,13.9,466797.0
2026-05-06,TWSE,2049,上銀,322.5,328.0,308.0,315.5,7480615.0
2026-05-06,TWSE,2059,川湖,4280.0,4530.0,4090.0,4400.0,1317410.0
2026-05-06,TWSE,2062,橋椿,21.35,21.35,20.8,21.0,439710.0
2026-05-06,TWSE,2069,運錩,18.6,19.05,18.55,18.75,401061.0
2026-05-06,TWSE,2072,世紀風電,181.5,181.5,175.0,176.0,396294.0
2026-05-06,TWSE,2101,南港,34.0,34.05,33.45,33.55,1257968.0
2026-05-06,TWSE,2102,泰豐,18.5,18.6,18.4,18.45,342872.0
2026-05-06,TWSE,2103,台橡,19.85,20.65,19.75,19.95,6143797.0
2026-05-06,TWSE,2104,國際中橡,10.6,10.6,10.25,10.25,3304412.0
2026-05-06,TWSE,2105,正新,31.2,31.25,30.8,31.05,8194112.0
2026-05-06,TWSE,2106,建大,17.4,17.45,17.3,17.35,604721.0
2026-05-06,TWSE,2107,厚生,26.2,26.3,26.0,26.1,261697.0
2026-05-06,TWSE,2108,南帝,27.3,28.5,26.8,26.85,4025662.0
2026-05-06,TWSE,2109,華豐,14.1,14.2,13.95,14.0,397984.0
2026-05-06,TWSE,2114,鑫永銓,88.5,88.5,87.5,87.8,75888.0
2026-05-06,TWSE,2115,六暉-KY,20.8,20.95,20.65,20.9,124492.0
2026-05-06,TWSE,2201,裕隆,27.3,27.4,26.95,27.15,2272199.0
2026-05-06,TWSE,2204,中華,54.4,54.4,53.9,54.0,1044420.0
2026-05-06,TWSE,2206,三陽工業,57.5,58.0,57.2,57.8,1379898.0
2026-05-06,TWSE,2207,和泰車,484.5,484.5,473.0,474.0,385983.0
2026-05-06,TWSE,2208,台船,20.4,20.5,20.15,20.15,3274135.0
2026-05-06,TWSE,2211,長榮鋼,99.4,99.4,98.4,98.7,513067.0
2026-05-06,TWSE,2227,裕日車,54.0,54.0,52.4,53.2,71243.0
