date,market,stock_id,name,open,high,low,close,volume
2026-06-29,TWSE,1101,台泥,24.7,24.7,24.1,24.15,25608721.0
2026-06-29,TWSE,1102,亞泥,36.1,36.25,35.35,35.45,15890417.0
2026-06-29,TWSE,1103,嘉泥,13.6,13.6,13.4,13.45,239064.0
2026-06-29,TWSE,1104,環泥,26.7,27.1,26.55,27.0,937210.0
2026-06-29,TWSE,1108,幸福,13.8,13.8,13.65,13.7,179778.0
2026-06-29,TWSE,1109,信大,14.7,14.7,14.5,14.55,143332.0
2026-06-29,TWSE,1110,東泥,14.95,15.05,14.85,15.0,126736.0
2026-06-29,TWSE,1201,味全,12.2,12.35,12.2,12.3,336910.0
2026-06-29,TWSE,1203,味王,43.05,43.1,42.8,43.1,17511.0
2026-06-29,TWSE,1210,大成,55.2,56.0,55.2,55.2,3533572.0
2026-06-29,TWSE,1213,大飲,7.81,8.0,7.5,7.5,63616.0
2026-06-29,TWSE,1215,卜蜂,114.0,116.0,114.0,115.5,706145.0
2026-06-29,TWSE,1216,統一,75.5,75.9,74.9,75.7,9580653.0
2026-06-29,TWSE,1217,愛之味,9.72,9.83,9.72,9.79,436320.0
2026-06-29,TWSE,1218,泰山,17.8,18.0,17.8,18.0,438482.0
2026-06-29,TWSE,1219,福壽,12.5,12.55,12.35,12.55,459532.0
2026-06-29,TWSE,1220,台榮,11.45,11.55,11.45,11.5,34676.0
2026-06-29,TWSE,1225,福懋油,29.4,29.7,29.15,29.15,274309.0
2026-06-29,TWSE,1227,佳格,29.05,29.35,29.0,29.35,694195.0
2026-06-29,TWSE,1229,聯華,42.9,43.1,42.6,42.7,2779577.0
2026-06-29,TWSE,1231,聯華食,88.0,88.2,87.7,88.1,276548.0
2026-06-29,TWSE,1232,大統益,140.5,141.5,140.5,140.5,119409.0
2026-06-29,TWSE,1233,天仁,28.4,28.4,28.3,28.3,10166.0
2026-06-29,TWSE,1234,黑松,33.5,33.7,33.4,33.5,224100.0
2026-06-29,TWSE,1235,興泰,36.5,36.7,36.2,36.5,15526.0
2026-06-29,TWSE,1236,宏亞,25.85,25.9,25.75,25.8,25282.0
2026-06-29,TWSE,1256,鮮活果汁-KY,176.5,179.5,175.5,176.0,47553.0
2026-06-29,TWSE,1301,台塑,52.7,53.5,52.1,53.2,21674448.0
2026-06-29,TWSE,1303,南亞,145.0,154.5,145.0,151.5,26522886.0
2026-06-29,TWSE,1304,台聚,13.25,13.4,13.05,13.2,3093252.0
