date,market,stock_id,name,open,high,low,close,volume
2026-08-13,TWSE,1101,台泥,24.65,24.75,24.45,24.45,13998587.0
2026-08-13,TWSE,1102,亞泥,32.6,32.65,32.3,32.35,7111395.0
2026-08-13,TWSE,1103,嘉泥,13.3,13.3,13.2,13.2,278554.0
2026-08-13,TWSE,1104,環泥,26.75,26.95,26.65,26.65,678116.0
2026-08-13,TWSE,1108,幸福,11.85,11.85,11.65,11.7,706055.0
2026-08-13,TWSE,1109,信大,13.6,13.6,13.5,13.55,49884.0
2026-08-13,TWSE,1110,東泥,16.3,16.45,16.2,16.3,213098.0
2026-08-13,TWSE,1201,味全,12.2,12.3,12.2,12.25,278558.0
2026-08-13,TWSE,1203,味王,46.2,46.95,45.9,45.9,12665.0
2026-08-13,TWSE,1210,大成,52.7,53.0,51.6,53.0,5026052.0
2026-08-13,TWSE,1213,大飲,7.89,8.0,7.68,7.68,10050.0
2026-08-13,TWSE,1215,卜蜂,109.5,110.0,108.0,108.5,496144.0
2026-08-13,TWSE,1216,統一,75.8,76.3,75.4,76.3,9945093.0
2026-08-13,TWSE,1217,愛之味,9.84,9.93,9.84,9.9,405406.0
2026-08-13,TWSE,1218,泰山,15.75,15.75,15.55,15.55,599072.0
2026-08-13,TWSE,1219,福壽,10.8,11.0,10.7,10.95,495815.0
2026-08-13,TWSE,1220,台榮,11.1,11.15,11.05,11.05,132574.0
2026-08-13,TWSE,1225,福懋油,25.25,25.25,24.65,24.9,70872.0
2026-08-13,TWSE,1227,佳格,28.8,28.85,28.45,28.7,978842.0
2026-08-13,TWSE,1229,聯華,41.9,41.95,41.35,41.5,1769371.0
2026-08-13,TWSE,1231,聯華食,81.8,82.2,81.2,81.4,332255.0
2026-08-13,TWSE,1232,大統益,156.0,156.0,154.0,155.0,170652.0
2026-08-13,TWSE,1233,天仁,27.85,28.0,27.75,27.9,11237.0
2026-08-13,TWSE,1234,黑松,33.6,33.8,33.5,33.65,109074.0
2026-08-13,TWSE,1235,興泰,36.25,36.75,35.55,35.55,9209.0
2026-08-13,TWSE,1236,宏亞,24.95,24.95,24.5,24.9,108896.0
2026-08-13,TWSE,1256,鮮活果汁-KY,180.0,180.5,178.0,180.0,25345.0
2026-08-13,TWSE,1301,台塑,55.7,56.5,55.6,56.2,14712997.0
2026-08-13,TWSE,1303,南亞,195.0,197.5,187.0,189.0,78318931.0
2026-08-13,TWSE,1304,台聚,12.05,12.1,11.9,12.1,1930278.0
