date,market,stock_id,name,open,high,low,close,volume
2026-09-15,TWSE,1101,台泥,24.4,24.4,23.9,23.9,35778533.0
2026-09-15,TWSE,1102,亞泥,35.3,35.3,34.85,35.0,5772878.0
2026-09-15,TWSE,1103,嘉泥,13.0,13.15,13.0,13.05,213653.0
2026-09-15,TWSE,1104,環泥,27.0,27.1,26.75,26.85,500283.0
2026-09-15,TWSE,1108,幸福,11.1,11.1,11.0,11.1,247541.0
2026-09-15,TWSE,1109,信大,13.4,13.45,13.35,13.4,68702.0
2026-09-15,TWSE,1110,東泥,15.65,15.85,15.55,15.55,147000.0
2026-09-15,TWSE,1201,味全,12.05,12.05,11.95,12.0,347797.0
2026-09-15,TWSE,1203,味王,43.0,43.7,42.5,43.2,25749.0
2026-09-15,TWSE,1210,大成,52.0,52.3,51.7,51.8,1310319.0
2026-09-15,TWSE,1213,大飲,,,,,
2026-09-15,TWSE,1215,卜蜂,110.0,110.0,107.5,107.5,1119388.0
2026-09-15,TWSE,1216,統一,74.6,75.3,74.6,74.6,9395978.0
2026-09-15,TWSE,1217,愛之味,9.97,9.98,9.93,9.96,232673.0
2026-09-15,TWSE,1218,泰山,14.25,14.35,14.2,14.3,880932.0
2026-09-15,TWSE,1219,福壽,11.4,11.45,11.25,11.25,284968.0
2026-09-15,TWSE,1220,台榮,10.8,10.8,10.7,10.75,90889.0
2026-09-15,TWSE,1225,福懋油,24.3,25.05,24.1,24.95,122021.0
2026-09-15,TWSE,1227,佳格,28.3,28.35,28.2,28.3,471785.0
2026-09-15,TWSE,1229,聯華,40.5,40.5,40.3,40.35,1516270.0
2026-09-15,TWSE,1231,聯華食,80.4,80.4,79.8,80.0,250436.0
2026-09-15,TWSE,1232,大統益,155.0,155.0,153.5,153.5,128103.0
2026-09-15,TWSE,1233,天仁,28.05,28.2,27.9,27.95,18015.0
2026-09-15,TWSE,1234,黑松,33.3,33.4,33.15,33.15,88661.0
2026-09-15,TWSE,1235,興泰,37.6,37.6,37.0,37.1,11392.0
2026-09-15,TWSE,1236,宏亞,25.55,25.9,25.55,25.85,32684.0
2026-09-15,TWSE,1256,鮮活果汁-KY,171.5,173.0,171.5,172.0,13838.0
2026-09-15,TWSE,1301,台塑,63.7,63.8,61.5,62.9,23847845.0
2026-09-15,TWSE,1303,南亞,232.0,236.5,220.5,234.0,54948757.0
2026-09-15,TWSE,1304,台聚,12.4,12.4,12.05,12.25,2067764.0
2026-09-15,TWSE,1305,華夏,12.15,12.15,11.85,11.9,1460709.0
2026-09-15,TWSE,1307,三芳,30.55,30.55,30.05,30.3,370496.0
2026-09-15,TWSE,1308,亞聚,14.35,14.35,14.05,14.15,1282420.0
2026-09-15,TWSE,1309,台達化,14.2,14.2,13.6,13.75,2351381.0
2026-09-15,TWSE,1310,台苯,8.6,8.7,8.51,8.65,1330470.0
2026-09-15,TWSE,1312,國喬,14.1,14.55,14.05,14.45,9453345.0
2026-09-15,TWSE,1313,聯成,12.0,12.0,11.65,11.75,1348275.0
2026-09-15,TWSE,1314,中石化,8.15,8.27,8.06,8.22,15174574.0
2026-09-15,TWSE,1315,達新,65.9,66.3,65.8,66.3,9317.0
2026-09-15,TWSE,1316,上曜,10.7,10.8,10.55,10.7,1078023.0
2026-09-15,TWSE,1319,東陽,78.3,78.6,77.7,78.3,714900.0
2026-09-15,TWSE,1321,大洋,31.8,32.3,31.75,32.3,43020.0
2026-09-15,TWSE,1323,永裕,21.85,21.9,21.45,21.7,106464.0
2026-09-15,TWSE,1324,地球,10.05,10.1,9.97,10.05,15154.0
2026-09-15,TWSE,1325,恆大,25.55,25.65,25.3,25.5,101358.0
2026-09-15,TWSE,1326,台化,70.5,70.5,66.2,67.6,27922318.0
2026-09-15,TWSE,1337,再生-KY,4.51,4.51,4.39,4.48,491099.0
2026-09-15,TWSE,1338,廣華-KY,14.45,14.6,14.3,14.6,47137.0
2026-09-15,TWSE,1339,昭輝,42.6,42.8,42.4,42.45,31601.0
2026-09-15,TWSE,1340,勝悅-KY,5.19,5.2,5.15,5.16,55079.0
2026-09-15,TWSE,1341,富林-KY,,,,,75.0
2026-09-15,TWSE,1342,八貫,99.1,101.0,98.4,99.8,98443.0
2026-09-15,TWSE,1402,遠東新,28.4,28.45,28.05,28.1,8417098.0
2026-09-15,TWSE,1409,新纖,24.2,24.65,23.9,24.35,9954614.0
2026-09-15,TWSE,1410,南染,24.4,24.65,24.05,24.2,101570.0
2026-09-15,TWSE,1413,宏洲,9.28,9.28,9.14,9.2,13521.0
